0.5 0.313268 0.0112257
0.6 0.425456 0.00478393
0.7 0.429307 0.00568512
0.8 0.453087 0.00440726
0.9 0.437017 0.00256432
1 0.420313 0.00164052
1.1 0.400128 0.00192878
1.2 0.371195 0.00131683
1.3 0.346437 0.00149301
1.4 0.317387 0.00127531
1.5 0.295214 0.000916818
1.6 0.271372 0.000733109
1.7 0.250351 0.000976856
1.8 0.230085 0.000941628
1.9 0.212953 0.000865191
2 0.196396 0.000686545
2.1 0.182757 0.000562675
2.2 0.169511 0.00052662
2.3 0.158149 0.000610171
2.4 0.146842 0.000503155
2.5 0.136856 0.000437654
